forecast_revision_bucket,threshold,number_of_trades,average_edge,average_market_price,expected_profit_per_trade,total_expected_pnl
<= -3°F,0.05,0,,,,0.0
<= -3°F,0.1,0,,,,0.0
<= -3°F,0.15,0,,,,0.0
-3 to -2°F,0.05,0,,,,0.0
-3 to -2°F,0.1,0,,,,0.0
-3 to -2°F,0.15,0,,,,0.0
-2 to -1°F,0.05,0,,,,0.0
-2 to -1°F,0.1,0,,,,0.0
-2 to -1°F,0.15,0,,,,0.0
-1 to 0°F,0.05,7,0.07894434103875432,0.11985714285714286,1.9736085259688583,13.815259681782008
-1 to 0°F,0.1,1,0.15685539858339664,0.055,3.921384964584916,3.921384964584916
-1 to 0°F,0.15,1,0.15685539858339664,0.055,3.921384964584916,3.921384964584916
0 to +1°F,0.05,0,,,,0.0
0 to +1°F,0.1,0,,,,0.0
0 to +1°F,0.15,0,,,,0.0
+1 to +2°F,0.05,0,,,,0.0
+1 to +2°F,0.1,0,,,,0.0
+1 to +2°F,0.15,0,,,,0.0
+2 to +3°F,0.05,0,,,,0.0
+2 to +3°F,0.1,0,,,,0.0
+2 to +3°F,0.15,0,,,,0.0
>= +3°F,0.05,0,,,,0.0
>= +3°F,0.1,0,,,,0.0
>= +3°F,0.15,0,,,,0.0
unknown,0.05,0,,,,0.0
unknown,0.1,0,,,,0.0
unknown,0.15,0,,,,0.0
