location,threshold,number_of_trades,average_edge,average_market_price,expected_profit_per_trade,total_expected_pnl
NYC,0.05,2,0.06577805344191932,0.012750000000000001,1.6444513360479829,3.2889026720959658
NYC,0.1,0,,,,0.0
NYC,0.15,0,,,,0.0
Chicago,0.05,0,,,,0.0
Chicago,0.1,0,,,,0.0
Chicago,0.15,0,,,,0.0
Dallas,0.05,2,0.11938857009686041,0.06425,2.9847142524215107,5.969428504843021
Dallas,0.1,1,0.15685539858339664,0.055,3.921384964584916,3.921384964584916
Dallas,0.15,1,0.15685539858339664,0.055,3.921384964584916,3.921384964584916
Seattle,0.05,1,0.06542174161032419,0.09,1.6355435402581047,1.6355435402581047
Seattle,0.1,0,,,,0.0
Seattle,0.15,0,,,,0.0
Atlanta,0.05,2,0.058427699291698304,0.2975,1.4606924822924583,2.9213849645849166
Atlanta,0.1,0,,,,0.0
Atlanta,0.15,0,,,,0.0
Miami,0.05,0,,,,0.0
Miami,0.1,0,,,,0.0
Miami,0.15,0,,,,0.0
